AeroDyn airfoil file Created with QBlade v0.8 on 28.03.2015 at 15:16:44 Compatible with AeroDyn v13.0.
Polar "T1_Re0.080_M0.00_N9.0" on Foil "NACA 0020" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
40.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
10.66847       Cn slope for zero lift for linear Cn curve (1/rad)
0.9191         Cn at stall value for positive angle of attack for linear Cn curve
0.1593         Cn at stall value for negative angle of attack for linear Cn curve
5.00           Angle of attack for minimum CD (deg)
0.0275         Minimum CD value
      1.00    0.1589    0.0279
      1.50    0.2360    0.0280
      2.00    0.3484    0.0281
      2.50    0.4313    0.0281
      3.00    0.5061    0.0281
      3.50    0.5819    0.0282
      4.00    0.6593    0.0281
      4.50    0.7527    0.0277
      5.00    0.8378    0.0275
      5.50    0.8671    0.0278
      6.00    0.8951    0.0284
      6.50    0.9217    0.0290
      7.00    0.9474    0.0299
      7.50    0.9738    0.0307
      8.00    1.0042    0.0316
      8.50    1.0132    0.0329
      9.00    1.0275    0.0344
      9.50    1.0578    0.0358
     10.00    1.0530    0.0376
     10.50    1.0706    0.0395
     11.00    1.0736    0.0413
     11.50    1.0774    0.0441
     12.00    1.0428    0.0476
     12.50    1.0799    0.0498
     13.00    0.9915    0.0577
     15.00    0.4739    0.1685
     16.00    0.4997    0.1806
     16.50    0.5334    0.1873
     17.00    0.5651    0.1992
     17.50    0.5417    0.1994
     18.00    0.5872    0.2087
     18.50    0.5709    0.2119
     19.00    0.5919    0.2177
     19.50    0.6391    0.2311
     20.00    0.6180    0.2309
     20.50    0.6340    0.2363
     21.00    0.6648    0.2449
     21.50    0.6688    0.2496
     22.00    0.6819    0.2536
     22.50    0.7061    0.2605
     23.00    0.7453    0.2823
     23.50    0.7298    0.2721
     24.00    0.7454    0.2774
     24.50    0.7656    0.2839
     25.50    0.7929    0.2965
     26.00    0.8072    0.3018
     26.50    0.8253    0.3081
     27.00    0.8490    0.3194
     27.50    0.8649    0.3316
     28.00    0.8664    0.3280
     28.50    0.8802    0.3338
     29.00    0.8955    0.3400
     29.50    0.9123    0.3472
     30.50    0.9378    0.3625
     31.00    0.9480    0.3665
     31.50    0.9612    0.3728
     32.00    0.9751    0.3792
     32.50    0.9904    0.3878
     33.50    1.0136    0.4065
     34.00    1.0211    0.4074
     34.50    1.0317    0.4135
     35.00    1.0427    0.4200
     35.50    1.0540    0.4262
     36.00    1.0661    0.4339
     36.50    1.0809    0.4548
     37.00    1.0861    0.4554
     37.50    1.0921    0.4551
     38.00    1.1007    0.4611
     38.50    1.1093    0.4678
     39.00    1.1178    0.4743
     39.50    1.1260    0.4808
     40.00    1.1341    0.4877
    180.00    0.1589    0.0279
