AeroDyn airfoil file Created with QBlade v0.8 on 01.04.2015 at 12:53:40 Compatible with AeroDyn v13.0.
Polar "T1_Re0.130_M0.00_N9.0" on Foil "NACA 2520" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
6.36080        Cn slope for zero lift for linear Cn curve (1/rad)
1.0034         Cn at stall value for positive angle of attack for linear Cn curve
0.2092         Cn at stall value for negative angle of attack for linear Cn curve
1.50           Angle of attack for minimum CD (deg)
0.0178         Minimum CD value
      0.00    0.2092    0.0182
      0.50    0.2565    0.0181
      1.00    0.3116    0.0180
      1.50    0.3733    0.0178
      2.00    0.4211    0.0180
      2.50    0.4862    0.0184
      3.00    0.5666    0.0188
      3.50    0.6686    0.0191
      4.00    0.7685    0.0194
      4.50    0.8681    0.0196
      5.00    0.9312    0.0197
      5.50    0.9551    0.0200
      6.00    0.9838    0.0204
      6.50    1.0075    0.0208
      7.00    1.0289    0.0214
      7.50    1.0559    0.0220
      8.00    1.0888    0.0227
      8.50    1.1062    0.0233
      9.00    1.1299    0.0242
      9.50    1.1557    0.0252
     10.00    1.1843    0.0262
     10.50    1.1921    0.0274
     11.00    1.2133    0.0289
     11.50    1.2385    0.0305
     12.00    1.2483    0.0324
     12.50    1.2631    0.0347
     13.00    1.2870    0.0369
     13.50    1.2889    0.0399
     14.00    1.3025    0.0428
     14.50    1.3087    0.0461
     15.00    1.3186    0.0499
     15.50    1.3207    0.0540
     16.00    1.3295    0.0581
     16.50    1.3146    0.0643
     17.00    1.3447    0.0667
     17.50    1.3037    0.0764
     18.00    1.2656    0.0869
     18.50    1.2761    0.0914
     19.00    1.2232    0.1053
     19.50    0.8052    0.2092
     20.50    0.7793    0.2346
     21.00    0.8081    0.2399
     21.50    0.8407    0.2519
     22.00    0.8217    0.2532
     22.50    0.8457    0.2582
     23.00    0.8833    0.2687
     23.50    0.8649    0.2729
     24.00    0.8795    0.2786
     24.50    0.9008    0.2841
     25.00    0.9369    0.2966
     25.50    0.9217    0.2986
     26.00    0.9361    0.3046
     26.50    0.9546    0.3101
     27.00    0.9788    0.3183
     27.50    0.9948    0.3315
     28.00    0.9895    0.3321
     28.50    1.0034    0.3384
     29.00    1.0193    0.3441
     29.50    1.0396    0.3517
     30.00    1.0572    0.3666
     30.50    1.0546    0.3661
     31.00    1.0659    0.3728
     31.50    1.0790    0.3788
     32.00    1.0933    0.3849
     32.50    1.1106    0.3951
     33.00    1.1221    0.4085
     33.50    1.1249    0.4095
     34.00    1.1328    0.4152
     34.50    1.1434    0.4216
     35.00    1.1543    0.4276
     35.50    1.1655    0.4338
     36.00    1.1786    0.4446
     36.50    1.1872    0.4572
     37.00    1.1903    0.4582
     37.50    1.1979    0.4651
     38.00    1.2061    0.4720
     38.50    1.2141    0.4784
     39.00    1.2219    0.4845
     39.50    1.2296    0.4909
     40.00    1.2384    0.5021
    180.00    0.2092    0.0182
